Date,Close,High,Low,Open,Volume,RSI,MA_20,MA_50,MA_100,MACD,MACD_hist,MACD_signal
2015-01-02,5199.9775390625,5199.9775390625,4781.187401688339,4781.187401688339,56582900,,,,,,,
2015-01-05,5217.427734375,5234.877325459866,5042.931823526337,5165.078961120401,24205800,,,,,,,
2015-01-06,5147.62841796875,5217.426769398835,5095.279654396187,5130.178830111229,12161500,,,,,,,
2015-01-07,5077.8310546875,5130.179828447165,5077.8310546875,5095.280645940722,19626100,,,,,,,
2015-01-08,5060.38134765625,5130.179711072198,5060.38134765625,5112.730120218211,9449500,,,,,,,
2015-01-09,5165.07861328125,5234.876972920186,5025.481894003378,5095.280253642314,23167400,,,,,,,
2015-01-12,5182.52783203125,5199.977420691288,5147.628654711174,5199.977420691288,15150700,,,,,,,
2015-01-13,5182.52783203125,5217.427009351326,5165.078243371212,5199.977420691288,14252500,,,,,,,
2015-01-14,5182.52783203125,5199.977420691288,5165.078243371212,5182.52783203125,13406400,,,,,,,
2015-01-15,5199.9775390625,5199.9775390625,5130.1791828334735,5199.9775390625,12615600,,,,,,,
2015-01-16,5095.2802734375,5182.528223325128,5095.2802734375,5165.078633347603,10442400,,,,,,,
2015-01-19,5112.7294921875,5165.078258319112,5095.279903476962,5095.279903476962,6440700,,,,,,,
2015-01-20,5147.62841796875,5147.62841796875,5025.481302966102,5025.481302966102,7030700,,,,,,,
2015-01-21,5182.52783203125,5182.52783203125,5112.729477391099,5182.52783203125,18415600,,,,,,,
2015-01-22,5322.12451171875,5374.473277407787,5182.527803214652,5199.977391777664,38720000,67.16951735086424,,,,,,
2015-01-23,5322.12451171875,5391.922865970799,5304.674923155738,5357.023688844774,15195800,67.16951735086424,,,,,,
2015-01-26,5217.427734375,5339.574871969064,5095.280596780936,5339.574871969064,14549600,52.74197639737468,,,,,,
2015-01-27,5217.427734375,5252.326916544732,5182.528552205267,5252.326916544732,12968600,52.74197639737468,,,,,,
2015-01-28,5165.07861328125,5252.32656282992,5165.07861328125,5199.977793100718,13192200,46.900256212142736,,,,,,
2015-01-29,5147.62841796875,5217.426769398835,5147.62841796875,5182.5275936837925,6848100,45.10675562756642,5177.2931640625,,,,,
2015-01-30,5269.77587890625,5269.77587890625,5147.628755885245,5199.977522894247,7913500,57.3898591492465,5180.7830810546875,,,,,
2015-02-02,5304.67529296875,5304.67529296875,5182.528164512232,5199.977754291735,6625600,60.13461399805739,5185.145458984375,,,,,
2015-02-03,5199.9775390625,5357.023840577811,5182.527950005244,5357.023840577811,7869600,49.77574634513079,5187.762915039062,,,,,
2015-02-04,5234.876953125,5252.32654296875,5130.1794140625,5252.32654296875,8486600,52.7006298201719,5195.615209960937,,,,,
2015-02-05,5095.2802734375,5234.876993257705,5060.381093482449,5234.876993257705,14081600,42.13141434038312,5197.36015625,,,,,
2015-02-06,5234.876953125,5234.876953125,5130.1794140625,5130.1794140625,10956000,52.409882739046786,5200.850073242187,,,17.87779026172211,,
2015-02-09,5217.427734375,5234.877325459866,5165.078961120401,5217.427734375,5324400,51.1860481605821,5202.595068359375,,,17.48307628901148,,
2015-02-10,5130.17919921875,5217.4271447836945,5130.17919921875,5217.4271447836945,6743900,45.468767008800945,5199.97763671875,,,10.014593006884752,,
2015-02-11,5130.17919921875,5165.078377444727,5130.17919921875,5130.17919921875,4051200,45.468767008800945,5197.360205078125,,,4.049090800011982,,
2015-02-12,5130.17919921875,5147.628788331739,5095.280020992772,5112.729610105761,11244100,45.46876700880094,5193.870288085937,,,-0.6708792002445989,,
2015-02-13,5165.07861328125,5165.07861328125,5095.280253642314,5095.280253642314,12896900,48.35090459777139,5197.360205078125,,,-1.5772172045735715,,
2015-02-16,5112.7294921875,5199.9774357401875,5095.279903476962,5182.52784702965,5506000,44.54753111457163,5197.360205078125,,,-6.445335361260732,,
2015-02-17,5165.07861328125,5182.528203190985,5095.280253642314,5147.629023371516,4553100,48.878201941684125,5198.23271484375,,,-6.00993866900717,,
2015-02-18,5182.52783203125,5199.977420691288,5147.628654711174,5165.078243371212,14954600,50.272270692566,5198.23271484375,,,-4.208366104773631,-7.598678751192589,3.3903126464189577
2015-02-20,5130.17919921875,5199.977555670705,5130.17919921875,5199.977555670705,4342000,46.20174508405834,5188.63544921875,,,-6.924878353112035,-8.252152799624795,1.3272744465127593
2015-02-23,5130.17919921875,5165.078377444727,5112.729610105761,5165.078377444727,6440300,46.20174508405834,5179.03818359375,,,-8.974283922572795,-8.241246695268444,-0.7330372273043517
2015-02-24,5130.17919921875,5199.977555670705,5112.729610105761,5130.17919921875,17579400,46.201745084058345,5174.675756835937,,,-10.477672514912229,-7.795708230086301,-2.681964284825927
2015-02-25,5182.52783203125,5182.52783203125,5130.179066051136,5165.078243371212,3839600,51.14264432412344,5172.93076171875,,,-7.3601780821027205,-3.7425710378214347,-3.6176070442812858
2015-02-26,5182.52783203125,5182.52783203125,5147.628654711174,5182.52783203125,5330700,51.142644324123445,5173.80322265625,,,-4.833820015574929,-0.9729703770349145,-3.8608496385400146
2015-02-27,5165.07861328125,5199.977793100718,5147.629023371516,5199.977793100718,7207300,49.38913047847614,5174.675732421875,,,-4.191353852164866,-0.2644033708998812,-3.926950481264985
2015-03-02,5182.52783203125,5199.977420691288,5147.628654711174,5147.628654711174,10431000,51.19134923715251,5170.313330078125,,,-2.2482719850795547,1.3429427969483445,-3.5912147820278992
2015-03-03,5182.52783203125,5217.427009351326,5165.078243371212,5199.977420691288,11373100,51.191349237152515,5164.20595703125,,,-0.7002930637436293,2.312737374627416,-3.0130304383710453
2015-03-04,5199.9775390625,5234.876717177013,5165.078360947987,5199.9775390625,17126500,53.12717538569319,5164.20595703125,,,1.9124909034835582,3.9404170734836828,-2.0279261700001245
2015-03-05,5199.9775390625,5234.876717177013,5182.527950005244,5199.9775390625,12926100,53.12717538569319,5162.460986328125,,,3.9377491011300663,4.772540216904153,-0.8347911157740865
2015-03-06,5217.427734375,5252.326916544732,5147.6293700355345,5165.078961120401,14335400,55.188473504166836,5168.568359375,,,6.87165359314622,6.165155767136246,0.7064978260099749
2015-03-09,5147.62841796875,5182.5275936837925,5112.7292422537075,5182.5275936837925,6210500,46.39898296355981,5164.2059326171875,,,3.5239506346206326,2.253962246888526,1.2699883877321065
2015-03-10,5217.427734375,5234.877325459866,5095.280596780936,5130.179778950669,25388300,54.24637752309048,5164.2059326171875,,,6.428984091148777,4.127196562733337,2.3017875284154408
2015-03-11,5130.17919921875,5182.527966557716,5130.17919921875,5165.078377444727,12473200,45.315555660415654,5164.2059326171875,,,1.6717455720772705,-0.5040335650705363,2.175779137147807
2015-03-12,5112.7294921875,5165.078258319112,5112.7294921875,5130.179080898038,9370400,43.763706655225526,5163.333447265625,,,-3.4664862567206,-4.513812315094725,1.0473260583741255
2015-03-13,5112.7294921875,5130.179080898038,5095.279903476962,5112.7294921875,13872600,43.763706655225526,5162.460961914063,5174.85021484375,,-7.452662347582191,-6.799990724765053,-0.6526716228171376
